"","date","TDOC"
"671","2018/02/27",37.29999924
"672","2018/02/28",40.09999847
"673","2018/03/01",38.54999924
"674","2018/03/02",41.95000076
"675","2018/03/05",41.95000076
"676","2018/03/06",43.45000076
"677","2018/03/07",44.04999924
"678","2018/03/08",43.04999924
"679","2018/03/09",43.15000153
"680","2018/03/12",43.25
"681","2018/03/13",42.79999924
"682","2018/03/14",42.95000076
"683","2018/03/15",42.5
"684","2018/03/16",41.25
"685","2018/03/19",41.54999924
"686","2018/03/20",41.79999924
"687","2018/03/21",43.09999847
"688","2018/03/22",42.70000076
"689","2018/03/23",42.29999924
"690","2018/03/26",43.59999847
"691","2018/03/27",41.15000153
"692","2018/03/28",39.15000153
"693","2018/03/29",40.29999924
"694","2018/04/02",38.5
"695","2018/04/03",40
"696","2018/04/04",40.75
"697","2018/04/05",41.40000153
"698","2018/04/06",39.15000153
"699","2018/04/09",38.70000076
"700","2018/04/10",39.70000076
"701","2018/04/11",40.09999847
"702","2018/04/12",41.45000076
"703","2018/04/13",41.15000153
"704","2018/04/16",41.65000153
"705","2018/04/17",42.5
"706","2018/04/18",42.65000153
"707","2018/04/19",43.04999924
"708","2018/04/20",42.75
"709","2018/04/23",42.54999924
"710","2018/04/24",41.15000153
"711","2018/04/25",40.65000153
"712","2018/04/26",42.09999847
"713","2018/04/27",43
"714","2018/04/30",43
"715","2018/05/01",42.70000076
"716","2018/05/02",45.45000076
"717","2018/05/03",41.70000076
"718","2018/05/04",42.20000076
"719","2018/05/07",44.34999847
"720","2018/05/08",45.29999924
"721","2018/05/09",46.65000153
"722","2018/05/10",47
"723","2018/05/11",47.84999847
"724","2018/05/14",48.5
"725","2018/05/15",49.04999924
"726","2018/05/16",49.45000076
"727","2018/05/17",48.70000076
"728","2018/05/18",49.34999847
"729","2018/05/21",49.90000153
"730","2018/05/22",49.59999847
"731","2018/05/23",49.84999847
"732","2018/05/24",50.59999847
"733","2018/05/25",50.70000076
"734","2018/05/29",50.79999924
"735","2018/05/30",51.20000076
"736","2018/05/31",50.90000153
"737","2018/06/01",50.79999924
"738","2018/06/04",51.90000153
"739","2018/06/05",53.79999924
"740","2018/06/06",54.29999924
"741","2018/06/07",53
"742","2018/06/08",53.59999847
"743","2018/06/11",54.70000076
"744","2018/06/12",56.70000076
"745","2018/06/13",59.04999924
"746","2018/06/14",60.59999847
"747","2018/06/15",60.84999847
"748","2018/06/18",62.15000153
"749","2018/06/19",60.45000076
"750","2018/06/20",62.34999847
"751","2018/06/21",61.45000076
"752","2018/06/22",61.59999847
"753","2018/06/25",59.54999924
"754","2018/06/26",59.65000153
"755","2018/06/27",55.70000076
"756","2018/06/28",57.70000076
"757","2018/06/29",58.04999924
"758","2018/07/02",59.40000153
"759","2018/07/03",59.84999847
"760","2018/07/05",62.79999924
"761","2018/07/06",63.34999847
"762","2018/07/09",65.15000153
"763","2018/07/10",62.20000076
"764","2018/07/11",62.70000076
"765","2018/07/12",65.44999695
"766","2018/07/13",66.09999847
"767","2018/07/16",67.05000305
"768","2018/07/17",68.30000305
"769","2018/07/18",69.15000153
"770","2018/07/19",70.40000153
"771","2018/07/20",68.55000305
"772","2018/07/23",69.55000305
"773","2018/07/24",63.70000076
"774","2018/07/25",66.90000153
"775","2018/07/26",65.90000153
"776","2018/07/27",63.84999847
"777","2018/07/30",61.04999924
"778","2018/07/31",59.84999847
"779","2018/08/01",61.84999847
"780","2018/08/02",65.25
"781","2018/08/03",62.5
"782","2018/08/06",66
"783","2018/08/07",66.69999695
"784","2018/08/08",69.34999847
"785","2018/08/09",69
"786","2018/08/10",71.84999847
"787","2018/08/13",69.5
"788","2018/08/14",71.69999695
"789","2018/08/15",70.75
"790","2018/08/16",72.59999847
"791","2018/08/17",73.94999695
"792","2018/08/20",75.30000305
"793","2018/08/21",74.84999847
"794","2018/08/22",75.69999695
"795","2018/08/23",75.80000305
"796","2018/08/24",75.75
"797","2018/08/27",74.05000305
"798","2018/08/28",74.5
"799","2018/08/29",74.05000305
"800","2018/08/30",75.94999695
"801","2018/08/31",77.55000305
"802","2018/09/04",79.15000153
"803","2018/09/05",77.30000305
"804","2018/09/06",76.44999695
"805","2018/09/07",77.05000305
"806","2018/09/10",77.15000153
"807","2018/09/11",78.15000153
"808","2018/09/12",76.94999695
"809","2018/09/13",77.75
"810","2018/09/14",77.30000305
"811","2018/09/17",74.59999847
"812","2018/09/18",76.94999695
"813","2018/09/19",75.44999695
"814","2018/09/20",75.40000153
"815","2018/09/21",78.09999847
"816","2018/09/24",78.5
"817","2018/09/25",80.75
"818","2018/09/26",78.55000305
"819","2018/09/27",82.5
"820","2018/09/28",86.34999847
"821","2018/10/01",83.72000122
"822","2018/10/02",80.37000275
"823","2018/10/03",79.90000153
"824","2018/10/04",78.06999969
"825","2018/10/05",75.83000183
"826","2018/10/08",71
"827","2018/10/09",69.25
"828","2018/10/10",63.43000031
"829","2018/10/11",62.43000031
"830","2018/10/12",65.94000244
"831","2018/10/15",66.37000275
"832","2018/10/16",70.87000275
"833","2018/10/17",69.94999695
"834","2018/10/18",68.23000336
"835","2018/10/19",67.08999634
"836","2018/10/22",69.13999939
"837","2018/10/23",67.18000031
"838","2018/10/24",62.15000153
"839","2018/10/25",65.95999908
"840","2018/10/26",62.50999832
"841","2018/10/29",63.22000122
"842","2018/10/30",67.19000244
"843","2018/10/31",69.33999634
"844","2018/11/01",69.51999664
"845","2018/11/02",72.51000214
"846","2018/11/05",63.34000015
"847","2018/11/06",63.40999985
"848","2018/11/07",68.27999878
"849","2018/11/08",65.33000183
"850","2018/11/09",62.49000168
"851","2018/11/12",60.56000137
"852","2018/11/13",58.50999832
"853","2018/11/14",57.40000153
"854","2018/11/15",60.29000092
"855","2018/11/16",59.08000183
"856","2018/11/19",52.93999863
"857","2018/11/20",54.75999832
"858","2018/11/21",54.91999817
"859","2018/11/23",55.75
"860","2018/11/26",58.40999985
"861","2018/11/27",59.34999847
"862","2018/11/28",63.54000092
"863","2018/11/29",64.08999634
"864","2018/11/30",62.45000076
"865","2018/12/03",64.87999725
"866","2018/12/04",59.81000137
"867","2018/12/06",55.81000137
"868","2018/12/07",53.40999985
"869","2018/12/10",52.34000015
"870","2018/12/11",53.49000168
"871","2018/12/12",53.70999908
"872","2018/12/13",52.45000076
"873","2018/12/14",51.16999817
"874","2018/12/17",47.86999893
"875","2018/12/18",47.99000168
"876","2018/12/19",48.58000183
"877","2018/12/20",45.86999893
"878","2018/12/21",44.00999832
"879","2018/12/24",42.88000107
"880","2018/12/26",48.33000183
"881","2018/12/27",48.33000183
"882","2018/12/28",48.40999985
"883","2018/12/31",49.56999969
"884","2019/01/02",48.18000031
"885","2019/01/03",46.22999954
"886","2019/01/04",49.43999863
"887","2019/01/07",52.13000107
"888","2019/01/08",53.77999878
"889","2019/01/09",55.06999969
"890","2019/01/10",55.54999924
"891","2019/01/11",55.47000122
"892","2019/01/14",57.13000107
"893","2019/01/15",59.24000168
"894","2019/01/16",60.43000031
