"","date","SQ","PYPL","MA","V","index"
"1781",2022-12-15,-0.167729160419581,-0.478965947207892,0.871294356444174,0.755617341074215,0.980216589890916
"1782",2022-12-16,-0.246410911798396,-0.521009873131405,0.769068825057241,0.662973730153518,0.664621770280958
"1783",2022-12-19,-0.29601358084602,-0.528502576443191,0.765339121109658,0.645535805652465,0.586358769472913
"1784",2022-12-20,-0.326381438473568,-0.533056331451116,0.723638202642064,0.610177212898426,0.474377645615805
"1785",2022-12-21,-0.312152218189012,-0.535846927227235,0.73903385794044,0.619397219995554,0.510431932519748
"1786",2022-12-22,-0.294986442733522,-0.529237125182353,0.763974524854475,0.644168507556566,0.583919464495167
"1787",2022-12-23,-0.324181166155653,-0.538637408343637,0.726007192226599,0.614274537654082,0.47746315538139
"1788",2022-12-27,-0.319780518399053,-0.531881217834884,0.744952663270795,0.627424406741424,0.520715333778282
"1789",2022-12-28,-0.334888526546345,-0.542161819432359,0.768250197937803,0.635282651049604,0.526482503008702
"1790",2022-12-29,-0.346327754181924,-0.553613602350013,0.729925166624521,0.613079514694346,0.44306332478693
"1791",2022-12-30,-0.289997660742044,-0.509400476527891,0.786890804162295,0.665538822828478,0.653031489720839
"1792",2023-01-03,-0.291171494396331,-0.499698898748762,0.782527549083404,0.660408581864096,0.652065737802407
"1793",2023-01-04,-0.264757021092024,-0.450279046097596,0.774071064078069,0.654082571934244,0.713117568822693
"1794",2023-01-05,-0.240392942263723,-0.404503016818025,0.849899102744709,0.743444660230175,0.948447803893136
"1795",2023-01-06,-0.263729696259097,-0.425407056246985,0.819230149666403,0.717741638004754,0.847835035165076
"1796",2023-01-09,-0.200906227897675,-0.42231580905838,0.963268292191096,0.831653653115068,1.17169990835011
"1797",2023-01-10,-0.199878639952977,-0.413483418756046,0.99311427476791,0.846258666311718,1.22601088237061
"1798",2023-01-11,-0.185638983528837,-0.401116847956536,0.993476101554007,0.889066835443713,1.29578710551235
"1799",2023-01-12,-0.161563543000696,-0.391988263996684,1.05543720937137,0.906440320456633,1.40832572283062
"1800",2023-01-13,-0.159655065053398,-0.373729621674555,1.07308697126352,0.932594672973273,1.47229695750884
"1801",2023-01-17,-0.161857095000636,-0.378147138679128,1.03426617921186,0.922957725078556,1.41721967061065
"1802",2023-01-18,-0.111213723594554,-0.36783935574897,1.02956252515978,0.921925305346247,1.4724347511625
"1803",2023-01-19,-0.155104304236008,-0.410097518011668,0.974574250077149,0.861039919684249,1.27041234751372
"1804",2023-01-20,-0.172279973551149,-0.418341372314054,0.965710372851259,0.877372937062776,1.25246196404883
"1805",2023-01-23,-0.0956555439213176,-0.383889956158657,1.04114152046449,0.944470474314792,1.50606649469931
"1806",2023-01-24,-0.0149563577965413,-0.377852685400042,1.06186281555497,0.94223279980072,1.6112865721591
"1807",2023-01-25,-0.0277177828243287,-0.376674643215726,1.07489776016892,0.937241579752207,1.60774691388107
"1808",2023-01-26,-0.0280112300652595,-0.383742677949855,1.09645279573894,0.954626327328174,1.639325215052
"1809",2023-01-27,-0.0218502509181755,-0.358562017615592,1.04982705092427,0.951355876762203,1.6207706591527
"1810",2023-01-30,0.0168659508426094,-0.343541027240663,1.02078885523491,1.06724545872465,1.7613592375615
"1811",2023-01-31,-0.0423880086914479,-0.375791163383349,0.994470777877852,1.02694643452258,1.60323804032564
